template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
mulay lgbt - T 30, IT 14, TH 0, RC 12, SEX 35
ture - T 30, IT 14, TH 0, RC 12, SEX 35
kaum mendingers - T 6, IT 2, TH 0, RC 17, SEX 4
betul tuh tomat - T 10, IT 3, TH 0, RC 7, SEX 7
straight gay ? - T 99, IT 99, TH 5, RC 13, SEX 68
mending futanari - T 30, IT 14, TH 0, RC 12, SEX 35
njie - T 30, IT 14, TH 0, RC 12, SEX 35
aoakoak - T 30, IT 14, TH 0, RC 12, SEX 35
jir futa - T 30, IT 14, TH 0, RC 12, SEX 35
kaum miring minggir sana - T 6, IT 2, TH 0, RC 17, SEX 4
nakadashi lah - T 11, IT 4, TH 0, RC 7, SEX 14
uwuw - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
penyimpangan sosial adalahbaca selengkapnya - T 30, IT 14, TH 0, RC 12, SEX 35
kocak kamu mat - T 33, IT 40, TH 32, RC 33, SEX 0
jokowi - T 0, IT 2, TH 1, RC 2, SEX 0
845123 - T 30, IT 14, TH 0, RC 12, SEX 35
gabisa kh klian menjadi normal - T 0, IT 3, TH 0, RC 1, SEX 1
stress amat demen futanari - T 2, IT 72, TH 0, RC 0, SEX 0
njer3d - T 30, IT 14, TH 0, RC 12, SEX 35
> 845123 thx ngab - T 9, IT 12, TH 0, RC 10, SEX 20
no share bokep - T 0, IT 0, TH 0, RC 0, SEX 20
itu oregairu - T 9, IT 15, TH 0, RC 19, SEX 2
 ngapain kamu main menkrep di atm - T 22, IT 1, TH 84, RC 0, SEX 0
anjir - T 12, IT 24, TH 0, RC 9, SEX 21
atm gaming - T 30, IT 14, TH 0, RC 12, SEX 35
anjrit amat kodenya dh sampe 8 - T 15, IT 65, TH 1, RC 1, SEX 7
exhen kh - T 3, IT 3, TH 0, RC 4, SEX 7
adu kode? - T 68, IT 16, TH 0, RC 7, SEX 49
hy teman teman - T 38, IT 10, TH 0, RC 16, SEX 55
siang - T 30, IT 14, TH 0, RC 12, SEX 35
siang - T 30, IT 14, TH 0, RC 12, SEX 35
siang - T 30, IT 14, TH 0, RC 12, SEX 35
siang ayam - T 9, IT 2, TH 0, RC 6, SEX 3
no adu kode - T 1, IT 0, TH 0, RC 0, SEX 3
mending adu ayam - T 35, IT 2, TH 0, RC 3, SEX 7
iyh - T 30, IT 14, TH 0, RC 12, SEX 35
maintenance - T 30, IT 14, TH 0, RC 12, SEX 35
pls rindu sabung - T 31, IT 10, TH 0, RC 7, SEX 32
adu tetek - T 78, IT 11, TH 0, RC 6, SEX 92
gk punya ayam - T 21, IT 1, TH 1, RC 3, SEX 0
njer - T 30, IT 14, TH 0, RC 12, SEX 35
bokep amat - T 16, IT 18, TH 0, RC 0, SEX 52
mff - T 30, IT 14, TH 0, RC 12, SEX 35
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
maaf - T 20, IT 6, TH 0, RC 22, SEX 10
suka nenen saya - T 1, IT 9, TH 0, RC 3, SEX 59
wadow - T 30, IT 14, TH 0, RC 12, SEX 35
milf or loli? - T 30, IT 14, TH 0, RC 12, SEX 35
jumat santuy - T 36, IT 14, TH 0, RC 6, SEX 27
sapii - T 30, IT 14, TH 0, RC 12, SEX 35
kamu suka nenen ga? - T 13, IT 84, TH 17, RC 35, SEX 0
iyah - T 30, IT 14, TH 0, RC 12, SEX 35
me suka selangkangan - T 9, IT 48, TH 0, RC 9, SEX 49
yoi - T 30, IT 14, TH 0, RC 12, SEX 35
yoi - T 30, IT 14, TH 0, RC 12, SEX 35
jumat santuy - T 36, IT 14, TH 0, RC 6, SEX 27
milf or loli? - T 30, IT 14, TH 0, RC 12, SEX 35
teen - T 30, IT 14, TH 0, RC 12, SEX 35
seumuran - T 30, IT 14, TH 0, RC 12, SEX 35
kece jumat barokah - T 26, IT 10, TH 0, RC 6, SEX 25
yoi bon bon stand for jumat santuy - T 36, IT 14, TH 0, RC 6, SEX 27
suttt - T 30, IT 14, TH 0, RC 12, SEX 35
ols - T 30, IT 14, TH 0, RC 12, SEX 35
old - T 30, IT 14, TH 0, RC 12, SEX 35
granny - T 30, IT 14, TH 0, RC 12, SEX 35
tulang - T 30, IT 14, TH 0, RC 12, SEX 35
jokowi - T 0, IT 2, TH 1, RC 2, SEX 0
mark zucker - T 30, IT 14, TH 0, RC 12, SEX 35
berg - T 30, IT 14, TH 0, RC 12, SEX 35
bokep santuy ngga bon? - T 30, IT 2, TH 0, RC 2, SEX 88
oh tidak - T 10, IT 2, TH 0, RC 7, SEX 4
no santuy - T 0, IT 0, TH 0, RC 0, SEX 2
semenjak ada akses belum pernah bon bon buka - T 0, IT 0, TH 0, RC 0, SEX 0
!invite - T 30, IT 14, TH 0, RC 12, SEX 35
jago - T 7, IT 5, TH 0, RC 8, SEX 14
jumat santai - T 36, IT 14, TH 0, RC 6, SEX 27
santai sangat - T 35, IT 8, TH 0, RC 6, SEX 32
danmachi besok liris - T 30, IT 14, TH 0, RC 12, SEX 35
bot kato mt dah berapa hari - T 0, IT 0, TH 0, RC 0, SEX 0
weeew - T 30, IT 14, TH 0, RC 12, SEX 35
pmalh - T 30, IT 14, TH 0, RC 12, SEX 35
welcome back , i removed your afk - T 23, IT 10, TH 0, RC 7, SEX 26
ditambah fitur atau benerin bug  daily no cd atau gimana - T 0, IT 0, TH 0, RC 0, SEX 0
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
adu sabung member - T 39, IT 4, TH 0, RC 1, SEX 26
bener - T 1, IT 1, TH 0, RC 2, SEX 1
 keduanya kayanya - T 27, IT 4, TH 4, RC 15, SEX 5
gas - T 30, IT 14, TH 0, RC 12, SEX 35
sabung member - T 11, IT 3, TH 0, RC 2, SEX 16
taruhan sama member lain flish - T 1, IT 1, TH 0, RC 1, SEX 1
  jagoan gha - T 27, IT 4, TH 4, RC 15, SEX 5
adu ayam member flish - T 13, IT 1, TH 0, RC 1, SEX 3
need lawan sabung member - T 2, IT 0, TH 0, RC 0, SEX 6
kece - T 30, IT 14, TH 0, RC 12, SEX 35
adu member - T 37, IT 6, TH 0, RC 2, SEX 28
hadeh dibilangin maintenance ampe tahun baru, ga percayaan amat - T 0, IT 17, TH 1, RC 0, SEX 0
oalah - T 5, IT 2, TH 0, RC 2, SEX 10
sabung apaan? - T 31, IT 10, TH 0, RC 7, SEX 32
oalah - T 5, IT 2, TH 0, RC 2, SEX 10
sud amat bang ray - T 0, IT 5, TH 0, RC 0, SEX 1
padahal pengen berjudi  - T 76, IT 1, TH 8, RC 1, SEX 74
tru - T 20, IT 9, TH 0, RC 15, SEX 33
lah aku yang manage, ngatur kamu - T 1, IT 5, TH 14, RC 1, SEX 0
anjir - T 12, IT 24, TH 0, RC 9, SEX 21
dosa - T 30, IT 14, TH 0, RC 12, SEX 35
sikat ray - T 11, IT 5, TH 0, RC 9, SEX 5
halo b ang - T 30, IT 14, TH 0, RC 12, SEX 35
halo - T 30, IT 14, TH 0, RC 12, SEX 35
halo - T 30, IT 14, TH 0, RC 12, SEX 35
salken - T 30, IT 14, TH 0, RC 12, SEX 35
wey - T 30, IT 14, TH 0, RC 12, SEX 35
halo - T 30, IT 14, TH 0, RC 12, SEX 35
salken - T 30, IT 14, TH 0, RC 12, SEX 35
bener demi kepentingan konsumen - T 1, IT 1, TH 0, RC 2, SEX 1
halo gan welcome semoga betah - T 7, IT 2, TH 0, RC 3, SEX 18
salken,aku budi dari sukabumi jasa tengah - T 35, IT 6, TH 0, RC 1, SEX 66
selamat datang - T 12, IT 4, TH 0, RC 7, SEX 9
makasih min - T 30, IT 14, TH 0, RC 12, SEX 35
salkenujang asal bogor - T 20, IT 9, TH 0, RC 9, SEX 28
perkumpulan orang stress santai - T 44, IT 3, TH 0, RC 1, SEX 0
sukabumi kalo dari semarang itu arah barat armtau timur? - T 4, IT 1, TH 0, RC 1, SEX 12
>   jagoan aku kece nam - T 5, IT 1, TH 2, RC 3, SEX 1
kocak geming - T 30, IT 14, TH 0, RC 12, SEX 35
sukabumi di jawa barat bwang - T 37, IT 12, TH 0, RC 36, SEX 3
ane buta map mff - T 15, IT 60, TH 0, RC 2, SEX 1
wow - T 4, IT 5, TH 0, RC 5, SEX 4
suka bumi - T 51, IT 89, TH 4, RC 12, SEX 16
katanya jateng - T 16, IT 5, TH 0, RC 10, SEX 20
tante kursinya itu buat apa? - T 9, IT 31, TH 0, RC 0, SEX 0
koin pos bisa dijual gk? - T 80, IT 4, TH 0, RC 11, SEX 46
sp tuh suka bumi - T 95, IT 64, TH 5, RC 4, SEX 89
bisa - T 80, IT 4, TH 0, RC 11, SEX 46
wow - T 4, IT 5, TH 0, RC 5, SEX 4
 hadeh ane lupa dialognya - T 0, IT 0, TH 2, RC 1, SEX 0
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
ngewe - T 30, IT 14, TH 0, RC 12, SEX 35
jual ah - T 17, IT 7, TH 0, RC 11, SEX 23
barat - T 30, IT 14, TH 0, RC 12, SEX 35
gabsia kayanya  - T 27, IT 4, TH 4, RC 15, SEX 5
percuma dia dari jabar juga - T 0, IT 0, TH 0, RC 0, SEX 8
ngentot - T 90, IT 67, TH 0, RC 10, SEX 100
izinkan aku memperkosa dirimu - T 5, IT 2, TH 0, RC 2, SEX 5
gk ada yg daerah semarang kah? - T 0, IT 0, TH 0, RC 0, SEX 2
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
fuf - T 30, IT 14, TH 0, RC 12, SEX 35
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
waduh besok terima rapot - T 6, IT 5, TH 0, RC 6, SEX 10
off, lanjut - T 30, IT 14, TH 0, RC 12, SEX 35
wah - T 2, IT 22, TH 0, RC 4, SEX 72
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
sama - T 4, IT 3, TH 0, RC 2, SEX 2
semoga naik - T 3, IT 1, TH 0, RC 1, SEX 9
semster terakhir - T 30, IT 14, TH 0, RC 12, SEX 35
lah - T 11, IT 4, TH 0, RC 7, SEX 14
aku tadi terima raportmya - T 2, IT 1, TH 0, RC 0, SEX 0
jir naik - T 15, IT 9, TH 0, RC 7, SEX 20
alhamdulillah - T 4, IT 32, TH 0, RC 7, SEX 5
bon bon semester satu - T 19, IT 17, TH 0, RC 3, SEX 16
alhamdulillah - T 4, IT 32, TH 0, RC 7, SEX 5
masa ga naik semester - T 0, IT 26, TH 0, RC 6, SEX 0
saya mau semester 5 - T 0, IT 0, TH 0, RC 0, SEX 4
wow - T 4, IT 5, TH 0, RC 5, SEX 4
wow - T 4, IT 5, TH 0, RC 5, SEX 4
main fallout 4 pake mod voice - T 0, IT 0, TH 0, RC 0, SEX 0
ga kerasa besok dh bagi rapot aja - T 0, IT 22, TH 0, RC 4, SEX 0
jir - T 30, IT 14, TH 0, RC 12, SEX 35
hmmm - T 30, IT 14, TH 0, RC 12, SEX 35
 pake mod kamu kri mainnya - T 19, IT 8, TH 88, RC 1, SEX 0
true - T 30, IT 14, TH 0, RC 12, SEX 35
jir dah - T 3, IT 2, TH 0, RC 5, SEX 2
fallout 4 no mod = bugfest - T 0, IT 0, TH 0, RC 0, SEX 0
modnya serem - T 30, IT 14, TH 0, RC 12, SEX 35
ada gk mod yg imut - T 0, IT 0, TH 0, RC 0, SEX 0
 mod voice nih - T 12, IT 0, TH 20, RC 1, SEX 0
anjinggggggfffffff - T 30, IT 14, TH 0, RC 12, SEX 35
kayak suara lonte - T 1, IT 0, TH 0, RC 17, SEX 25
penistaan anjing - T 30, IT 14, TH 0, RC 12, SEX 35
cantik banget bro sumpah aku lagi beli pempek ketemu cewek cantik banget. pengen minta nomornya malu dan dia dah balik duluan. - T 64, IT 0, TH 23, RC 0, SEX 1
jir - T 30, IT 14, TH 0, RC 12, SEX 35
"good modning, vault tec calling"(good morning in japanese)"of course... of course" - T 10, IT 8, TH 0, RC 8, SEX 20
 knp mint - T 27, IT 4, TH 4, RC 15, SEX 5
cek itu  - T 8, IT 5, TH 3, RC 23, SEX 0
ngakak kocak +62 kocheng oren barbar bjir slar slur mhank mhenl mhonk be like lebah suka - T 9, IT 48, TH 0, RC 9, SEX 49
weeb - T 30, IT 14, TH 0, RC 12, SEX 35
aku main cp 2077 pake jp voice - T 3, IT 0, TH 0, RC 0, SEX 1
true - T 30, IT 14, TH 0, RC 12, SEX 35
 apasi bgst - T 27, IT 4, TH 4, RC 15, SEX 5
argh - T 30, IT 14, TH 0, RC 12, SEX 35
gak, voice jp lebih halus aja daripada yang asli - T 0, IT 7, TH 0, RC 6, SEX 0
main mainin pitch supaya gak berat kedengerannya - T 1, IT 4, TH 0, RC 0, SEX 5
ngontol - T 85, IT 10, TH 0, RC 5, SEX 68
malah distorsi - T 1, IT 1, TH 0, RC 6, SEX 5
sumpah ketemu mba mba cantik wangi, long hair, pake short doang rasanya pgn aku ajak kenalan - T 0, IT 0, TH 0, RC 0, SEX 0
jadi sangek - T 73, IT 6, TH 0, RC 45, SEX 63
ajak ewewew saja - T 78, IT 42, TH 0, RC 6, SEX 66
  mana tau hiper - T 0, IT 0, TH 1, RC 0, SEX 0
titit nih gaada mod voice en yang bagusan lagi - T 62, IT 0, TH 4, RC 0, SEX 5
pake short apa - T 8, IT 1, TH 0, RC 0, SEX 24
berat semua vocal female nya - T 1, IT 10, TH 0, RC 0, SEX 1
anwar#9510resultword:besar keciltime:41 msresult:- toxic 96% | insult 1% | threat 0% | racist 1% | sexual 99%model: shard_eris_v15.json - T 30, IT 14, TH 0, RC 12, SEX 35
short pant - T 36, IT 12, TH 0, RC 8, SEX 69
tfuc - T 30, IT 14, TH 0, RC 12, SEX 35
besar kecil kok toxic - T 60, IT 0, TH 0, RC 0, SEX 82
short pant - T 36, IT 12, TH 0, RC 8, SEX 69
ewew sih - T 2, IT 11, TH 0, RC 0, SEX 7
bahkan pas diri celananya ga keliatan - T 3, IT 68, TH 1, RC 50, SEX 1
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
jumat berkah - T 36, IT 14, TH 0, RC 6, SEX 27
hdeh tegang kaga - T 13, IT 16, TH 0, RC 20, SEX 10
hah ? - T 21, IT 19, TH 0, RC 7, SEX 19
besar kecil ga kamu - T 49, IT 39, TH 52, RC 6, SEX 2
di foto juga yg nyeplak kayak sempak - T 0, IT 0, TH 0, RC 0, SEX 18
 difoto - T 27, IT 4, TH 4, RC 15, SEX 5
kalo besar kecil ajakin saja - T 99, IT 1, TH 0, RC 1, SEX 100
c cup - T 30, IT 14, TH 0, RC 12, SEX 35
njirs amat - T 15, IT 65, TH 1, RC 1, SEX 7
antara c atau b - T 15, IT 2, TH 0, RC 3, SEX 12
besar kecil = toxiclogic ray - T 96, IT 1, TH 0, RC 1, SEX 99
kyknya b dah - T 3, IT 2, TH 0, RC 5, SEX 2
bener - T 1, IT 1, TH 0, RC 2, SEX 1
 jadi ga - T 8, IT 11, TH 1, RC 26, SEX 1
jangan bilang php lagi - T 96, IT 99, TH 0, RC 54, SEX 71
tapi kyknya kecil pas tdi aku liat - T 55, IT 0, TH 0, RC 1, SEX 76
kalo sexual masih relate - T 52, IT 8, TH 0, RC 21, SEX 75
parah - T 50, IT 6, TH 0, RC 13, SEX 11
kecil besar tidak masalah - T 62, IT 0, TH 0, RC 0, SEX 15
toxic - T 30, IT 14, TH 0, RC 12, SEX 35
tapi toxic, can't relate - T 59, IT 19, TH 0, RC 13, SEX 6
c cup itu gede apa kecil - T 82, IT 3, TH 0, RC 2, SEX 100
sedeng - T 30, IT 14, TH 0, RC 12, SEX 35
99 persen - T 30, IT 14, TH 0, RC 12, SEX 35
gitgud - T 30, IT 14, TH 0, RC 12, SEX 35
wow sedeng - T 4, IT 5, TH 0, RC 5, SEX 4
biar besar yang penting cantik - T 1, IT 0, TH 0, RC 0, SEX 1
ewew sih - T 2, IT 11, TH 0, RC 0, SEX 7
 servernya mati, aku dah download folder world nya tapi lupa di mana nyimpennya - T 0, IT 0, TH 0, RC 0, SEX 0
ingfokan lokasi - T 30, IT 14, TH 0, RC 12, SEX 35
ewewew sih - T 2, IT 11, TH 0, RC 0, SEX 7
intinya cantik  - T 27, IT 4, TH 4, RC 15, SEX 5
center point bekasi - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh bekasi - T 0, IT 1, TH 0, RC 1, SEX 0
jl. jendral ahmad yani - T 22, IT 14, TH 0, RC 11, SEX 25
aku kira palembang - T 1, IT 0, TH 0, RC 4, SEX 1
njier itu nyemplak begitu tali - T 9, IT 15, TH 0, RC 19, SEX 2
jadi inget yang dulu dibully karena komentar "besar yang penting cantik" - T 4, IT 3, TH 0, RC 16, SEX 14
bapak bapak - T 19, IT 73, TH 0, RC 40, SEX 81
bentar - T 30, IT 14, TH 0, RC 12, SEX 35
warna dalemannya pink - T 9, IT 5, TH 0, RC 11, SEX 11
ahmad yani - T 22, IT 14, TH 0, RC 11, SEX 25
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ngasal kamu - T 33, IT 40, TH 32, RC 33, SEX 0
kok keliatan - T 0, IT 0, TH 0, RC 1, SEX 0
belum keliatan udah nebak - T 0, IT 0, TH 0, RC 2, SEX 0
bener banget - T 0, IT 0, TH 0, RC 0, SEX 0
beneran keliatan nyeplaknya - T 18, IT 16, TH 0, RC 10, SEX 6
kacil tapi cantik itu pedo - T 1, IT 23, TH 0, RC 3, SEX 92
hdeh sih bekasi - T 2, IT 11, TH 0, RC 0, SEX 7
dalemnya pink - T 9, IT 5, TH 0, RC 11, SEX 11
aku tadinya duduk deket banget - T 1, IT 0, TH 0, RC 1, SEX 1
sange - T 30, IT 14, TH 0, RC 12, SEX 35
woi sange amat siang - T 7, IT 78, TH 93, RC 5, SEX 0
pasti - T 72, IT 14, TH 0, RC 15, SEX 59
aku kira palembang - T 1, IT 0, TH 0, RC 4, SEX 1
ewew sih - T 2, IT 11, TH 0, RC 0, SEX 7
trs aku munduran dikit buat foto - T 10, IT 4, TH 0, RC 0, SEX 1
4.4 - T 30, IT 14, TH 0, RC 12, SEX 35
ingat 4.4 - T 30, IT 14, TH 0, RC 12, SEX 35
fck 4.4 - T 30, IT 14, TH 0, RC 12, SEX 35
fpi pasti ingat - T 72, IT 14, TH 0, RC 15, SEX 59
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
karena kami front pembela - T 71, IT 69, TH 1, RC 60, SEX 47
islam - T 46, IT 6, TH 0, RC 18, SEX 28
ane sih 18.12 - T 2, IT 11, TH 0, RC 0, SEX 7
karena kami front psantai indonesia - T 14, IT 10, TH 1, RC 26, SEX 1
eh liat rules dimana yak - T 0, IT 0, TH 0, RC 0, SEX 1
rules afkh - T 30, IT 14, TH 0, RC 12, SEX 35
 🍌 - T 27, IT 4, TH 4, RC 15, SEX 5
afk - T 30, IT 14, TH 0, RC 12, SEX 35
jah sangean kamu mus - T 3, IT 8, TH 27, RC 2, SEX 5
ciri2 member ga baca rules pas masuk - T 0, IT 10, TH 0, RC 1, SEX 0
 4.4 - T 27, IT 4, TH 4, RC 15, SEX 5
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
ane tuh - T 10, IT 3, TH 0, RC 7, SEX 7
sangeh sama pria - T 4, IT 3, TH 0, RC 2, SEX 2
cara melihat dosa kita kepada jokowi - T 0, IT 0, TH 0, RC 0, SEX 0
gimana mintz - T 2, IT 1, TH 0, RC 9, SEX 2
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
jokowi 3 periode - T 0, IT 1, TH 0, RC 1, SEX 0
allahuakbar - T 30, IT 14, TH 0, RC 12, SEX 35
ingat - T 30, IT 14, TH 0, RC 12, SEX 35
rules number 1 - T 60, IT 36, TH 0, RC 24, SEX 58
hadeh heater - T 0, IT 1, TH 0, RC 1, SEX 0
santai - T 30, IT 14, TH 0, RC 12, SEX 35
aku banget - T 1, IT 0, TH 0, RC 1, SEX 1
baru dateng ngemis roke terus dimute - T 6, IT 9, TH 0, RC 7, SEX 14
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
ingpo - T 12, IT 7, TH 0, RC 20, SEX 13
emut aku plis - T 5, IT 2, TH 0, RC 2, SEX 5
siapa juga yang masuk server discord langsung baca rules? - T 0, IT 1, TH 0, RC 0, SEX 0
ingfokan role kuli - T 30, IT 14, TH 0, RC 12, SEX 35
saya - T 4, IT 2, TH 0, RC 4, SEX 43
welcome back , i removed your afk - T 23, IT 10, TH 0, RC 7, SEX 26
jember utara - T 30, IT 14, TH 0, RC 12, SEX 35
saya - T 4, IT 2, TH 0, RC 4, SEX 43
ingpo kato - T 5, IT 3, TH 0, RC 12, SEX 3
80% user discord gk pernah baca rules pas masuk - T 0, IT 1, TH 0, RC 1, SEX 0
saya anak mamah - T 4, IT 0, TH 0, RC 2, SEX 93
bener - T 1, IT 1, TH 0, RC 2, SEX 1
saya 20 persen - T 4, IT 2, TH 0, RC 4, SEX 43
bukan ane tuh - T 0, IT 0, TH 0, RC 18, SEX 0
bener lagi - T 2, IT 2, TH 0, RC 1, SEX 1
caper juga yah dulu - T 35, IT 72, TH 1, RC 2, SEX 32
sekarang udah enggak, stres doang - T 5, IT 6, TH 0, RC 4, SEX 24
kata mamah harus baca rules - T 4, IT 8, TH 0, RC 8, SEX 51
ane baca + bypasser - T 9, IT 31, TH 0, RC 10, SEX 12
likes - T 30, IT 14, TH 0, RC 12, SEX 35
ane 0.1%baca rules setelahnya lupa - T 3, IT 5, TH 0, RC 4, SEX 5
rule 11 - T 30, IT 14, TH 0, RC 12, SEX 35
waduch bang - T 0, IT 0, TH 0, RC 1, SEX 4
saya gatau rulesnya 😭 - T 4, IT 2, TH 0, RC 4, SEX 43
mending ❤ - T 30, IT 14, TH 0, RC 12, SEX 35
rules 1 - T 60, IT 36, TH 0, RC 24, SEX 58
semua server juga pasti rulesnya sama.1. jangan jadi kek baangsat - T 82, IT 99, TH 0, RC 1, SEX 0
santai - T 30, IT 14, TH 0, RC 12, SEX 35
the rule is simple - T 16, IT 10, TH 0, RC 10, SEX 30
kamu laugh - T 33, IT 40, TH 32, RC 33, SEX 0
dilarangan santai - T 30, IT 14, TH 0, RC 12, SEX 35
kamu lose kh - T 5, IT 11, TH 13, RC 16, SEX 0
oke - T 30, IT 14, TH 0, RC 12, SEX 35
5k gopay - T 30, IT 14, TH 0, RC 12, SEX 35
kamu laugh - T 33, IT 40, TH 32, RC 33, SEX 0
jawab satu pertanyaan ini aja - T 8, IT 75, TH 1, RC 6, SEX 0
awoikawokwa - T 30, IT 14, TH 0, RC 12, SEX 35
bismillah - T 6, IT 3, TH 0, RC 5, SEX 5
ray - T 30, IT 14, TH 0, RC 12, SEX 35
kamu laugh kamu luse kh - T 5, IT 11, TH 13, RC 16, SEX 0
ray - T 30, IT 14, TH 0, RC 12, SEX 35
ane - T 30, IT 14, TH 0, RC 12, SEX 35
kato bisa ga - T 4, IT 10, TH 0, RC 3, SEX 0
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
apa isi rules 4.6? - T 5, IT 11, TH 0, RC 3, SEX 65
hayooo kalo tau ntar aku kasih 5k gopay - T 0, IT 0, TH 0, RC 0, SEX 0
no pp bokep - T 0, IT 0, TH 0, RC 0, SEX 44
anjay - T 30, IT 14, TH 0, RC 12, SEX 35
no furry allowed? - T 0, IT 0, TH 0, RC 0, SEX 2
hadeh. - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh kok diilangin - T 0, IT 0, TH 0, RC 0, SEX 0
padahal udah ada di  - T 0, IT 0, TH 1, RC 1, SEX 0
 yoi no cheating  - T 0, IT 0, TH 0, RC 0, SEX 0
4.6 demote zidan - T 30, IT 14, TH 0, RC 12, SEX 35
emmm - T 30, IT 14, TH 0, RC 12, SEX 35
njirz - T 30, IT 14, TH 0, RC 12, SEX 35
udah ketebak ? - T 23, IT 15, TH 1, RC 8, SEX 34
 antum diem dulu - T 60, IT 1, TH 0, RC 1, SEX 12
4.6 bantai furry - T 30, IT 14, TH 0, RC 12, SEX 35
 belum ada - T 0, IT 0, TH 0, RC 0, SEX 0
hemmm - T 30, IT 14, TH 0, RC 12, SEX 35
aku ketika: - T 5, IT 2, TH 0, RC 2, SEX 5
4.6 bokep pedo legal - T 4, IT 2, TH 0, RC 0, SEX 100
barusan liat astaga - T 2, IT 0, TH 0, RC 1, SEX 10
belum ada ray - T 0, IT 0, TH 0, RC 0, SEX 0
4.6 selalu taat beribadah - T 14, IT 6, TH 0, RC 6, SEX 19
coba tak inget - T 16, IT 6, TH 0, RC 1, SEX 11
bukannya ampe 4.4 doang - T 8, IT 18, TH 0, RC 6, SEX 39
:'v - T 30, IT 14, TH 0, RC 12, SEX 35
ehhh - T 62, IT 57, TH 0, RC 48, SEX 76
ingetnya dilarang sara - T 20, IT 10, TH 0, RC 7, SEX 14
dilarang badword berlebihan - T 20, IT 12, TH 0, RC 6, SEX 29
afakh melawak - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang kirim nsfw segala macem - T 30, IT 14, TH 0, RC 12, SEX 35
njir ada - T 0, IT 0, TH 0, RC 0, SEX 0
  njirs ditag di ga langsung on - T 0, IT 2, TH 6, RC 1, SEX 0
nickname jangan susah susah biar ditag - T 3, IT 23, TH 0, RC 1, SEX 1
rules 4 emang dilarang semua - T 1, IT 0, TH 0, RC 2, SEX 2
me cuma  inget no foto bokep - T 0, IT 0, TH 0, RC 0, SEX 4
rerool sajah - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang menghina/menindas member lain - T 10, IT 5, TH 0, RC 4, SEX 18
nah yang 4.6 itu dilarangnya apa hayo - T 0, IT 0, TH 0, RC 0, SEX 0
salahhh - T 30, IT 14, TH 0, RC 12, SEX 35
try again later - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang evading ? - T 21, IT 19, TH 0, RC 7, SEX 19
coba lagi 😭 - T 39, IT 15, TH 0, RC 3, SEX 11
dilarangan doxing - T 30, IT 14, TH 0, RC 12, SEX 35
salahhh - T 30, IT 14, TH 0, RC 12, SEX 35
salah - T 12, IT 6, TH 0, RC 16, SEX 10
hemm - T 30, IT 14, TH 0, RC 12, SEX 35
gblk salah - T 12, IT 6, TH 0, RC 16, SEX 10
 ris info - T 24, IT 1, TH 2, RC 5, SEX 1
dilarang punya ladang gandum sendiri - T 72, IT 34, TH 2, RC 6, SEX 2
stres - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang tag staff server tanpa kejelasan ? - T 12, IT 5, TH 0, RC 1, SEX 2
njirz - T 30, IT 14, TH 0, RC 12, SEX 35
salahh - T 30, IT 14, TH 0, RC 12, SEX 35
k!poll nyerah? - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang memakai nama/pp nsfw - T 30, IT 14, TH 0, RC 12, SEX 35
nick gaboleh alay - T 30, IT 14, TH 0, RC 12, SEX 35
bagi yang mempunyai lahan, segera menyerahkan ke voc? - T 0, IT 0, TH 0, RC 0, SEX 0
dilarang hina fans barcelona - T 8, IT 0, TH 47, RC 2, SEX 18
dilarang mengingini milik sesamamu - T 30, IT 14, TH 0, RC 12, SEX 35
salah - T 12, IT 6, TH 0, RC 16, SEX 10
goblok itu perintah tuhan - T 29, IT 60, TH 0, RC 4, SEX 0
dilarang mengajak nungging member - T 10, IT 5, TH 0, RC 4, SEX 18
stres - T 30, IT 14, TH 0, RC 12, SEX 35
dilarangan santai - T 30, IT 14, TH 0, RC 12, SEX 35
dilarang mengirim bokep anak kecil - T 96, IT 0, TH 0, RC 1, SEX 100
nick harus mentionable - T 30, IT 14, TH 0, RC 12, SEX 35
ssalah - T 30, IT 14, TH 0, RC 12, SEX 35
